OTU,soupName,OTUsize,dilution,sample,readSpikeSum,inputDNA,added.lysis.buffer.ml.,WEIGHT.g.,period,lysis.batch,aliquot,lysisBufferFrac,FSL
OTU10,123545.M1.S1.A,102,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,311.669942764641
OTU106,123545.M1.S1.A,2134,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,6520.62409666416
OTU1063,123545.M1.S1.A,10,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,30.5558767416315
OTU108,123545.M1.S1.A,1215,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,3712.53902410823
OTU109,123545.M1.S1.A,3297,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,10074.2725617159
OTU11,123545.M1.S1.A,129,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,394.170809967046
OTU110,123545.M1.S1.A,2584,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,7895.63855003758
OTU111,123545.M1.S1.A,1428,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,4363.37919870498
OTU114,123545.M1.S1.A,668,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,2041.13256634098
OTU1151,123545.M1.S1.A,9,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,27.5002890674683
OTU118,123545.M1.S1.A,127,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,388.05963461872
OTU12,123545.M1.S1.A,129830,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,396706.947736602
OTU120,123545.M1.S1.A,1160,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,3544.48170202925
OTU125,123545.M1.S1.A,303,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,925.843065271434
OTU126,123545.M1.S1.A,2100,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,6416.73411574261
OTU129,123545.M1.S1.A,1555,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,4751.4388333237
OTU13,123545.M1.S1.A,283,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,864.731311788171
OTU130,123545.M1.S1.A,1041,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,3180.86676880384
OTU135,123545.M1.S1.A,2499,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,7635.91359773371
OTU139,123545.M1.S1.A,2191,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,6694.79259409146
OTU143,123545.M1.S1.A,157,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,479.727264843614
OTU144,123545.M1.S1.A,126,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,385.004046944557
OTU15,123545.M1.S1.A,158,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,482.782852517778
OTU157,123545.M1.S1.A,112,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,342.225819506273
OTU163,123545.M1.S1.A,679,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,2074.74403075678
OTU167,123545.M1.S1.A,8,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,24.4447013933052
OTU18,123545.M1.S1.A,47,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,143.612620685668
OTU180,123545.M1.S1.A,733,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,2239.74576516159
OTU186,123545.M1.S1.A,449,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1371.95886569925
OTU189,123545.M1.S1.A,391,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1194.73478059779
OTU19,123545.M1.S1.A,105673,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,322893.116291842
OTU194,123545.M1.S1.A,137,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,418.615511360351
OTU199,123545.M1.S1.A,732,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,2236.69017748743
OTU203,123545.M1.S1.A,859,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,2624.74981210614
OTU206,123545.M1.S1.A,636,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1943.35376076776
OTU208,123545.M1.S1.A,341,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1041.95539688963
OTU21,123545.M1.S1.A,35,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,106.94556859571
OTU216,123545.M1.S1.A,619,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1891.40877030699
OTU218,123545.M1.S1.A,358,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1093.90038735041
OTU22,123545.M1.S1.A,38,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,116.1123316182
OTU225,123545.M1.S1.A,206,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,629.451060877609
OTU229,123545.M1.S1.A,264,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,806.675145979071
OTU231,123545.M1.S1.A,258,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,788.341619934093
OTU233,123545.M1.S1.A,272,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,831.119847372377
OTU236,123545.M1.S1.A,269,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,821.953084349887
OTU237,123545.M1.S1.A,463,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1414.73709313754
OTU238,123545.M1.S1.A,219,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,669.17370064173
OTU25,123545.M1.S1.A,81,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,247.502601607215
OTU252,123545.M1.S1.A,8,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,24.4447013933052
OTU256,123545.M1.S1.A,458,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1399.45915476672
OTU258,123545.M1.S1.A,248,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,757.785743192461
OTU26,123545.M1.S1.A,38,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,116.1123316182
OTU260,123545.M1.S1.A,421,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1286.40241082269
OTU261,123545.M1.S1.A,269,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,821.953084349887
OTU27,123545.M1.S1.A,161,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,491.949615540267
OTU274,123545.M1.S1.A,345,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1054.17774758629
OTU275,123545.M1.S1.A,234,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,715.007515754177
OTU279,123545.M1.S1.A,197,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,601.95077181014
OTU28,123545.M1.S1.A,41,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,125.279094640689
OTU29,123545.M1.S1.A,82,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,250.558189281378
OTU3,123545.M1.S1.A,6146,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,18779.6418454067
OTU30,123545.M1.S1.A,25,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,76.3896918540787
OTU306,123545.M1.S1.A,68,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,207.779961843094
OTU307,123545.M1.S1.A,197,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,601.95077181014
