OTU,sampleName,OTUsize,dilution,sample,readSpikeSum,inputDNA,added.lysis.buffer.ml.,WEIGHT.g.,period,lysis.batch,aliquot,lysisBufferFrac,FSL,sample2,fittedOTUsize,fittedFSL
OTU10,123545.M1.S1.A,102,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,252.291401820734,Sample 1,-0.351579346447341,-0.462658474240337
OTU1042,123545.M1.S1.A,10,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,24.7344511588955,Sample 1,-0.154801436906094,-0.0891718236161749
OTU106,123545.M1.S1.A,2098,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,5189.28785313628,Sample 1,-0.38033311565864,-0.150412504475819
OTU108,123545.M1.S1.A,1207,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,2985.44825487869,Sample 1,-0.368780531904546,-0.306414955717446
OTU109,123545.M1.S1.A,3160,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,7816.08656621098,Sample 1,-0.360461878885984,-0.0943031651688365
OTU11,123545.M1.S1.A,129,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,319.074419949752,Sample 1,-0.351504094236407,-0.465617730220145
OTU110,123545.M1.S1.A,2488,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,6153.9314483332,Sample 1,-0.42531755888657,-0.199153449752623
OTU111,123545.M1.S1.A,1421,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,3514.76550967905,Sample 1,-0.387312789377264,-0.176130199389989
OTU114,123545.M1.S1.A,668,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1652.26133741422,Sample 1,-0.393164928099776,-0.278923087088927
OTU118,123545.M1.S1.A,119,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,294.339968790857,Sample 1,-0.387762589736133,-0.410176721408828
OTU12,123545.M1.S1.A,128808,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,318599.518487501,Sample 1,-0.398855923028624,-0.0697173523426122
OTU120,123545.M1.S1.A,1146,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,2834.56810280942,Sample 1,-0.424460345075088,-0.223520784584678
OTU125,123545.M1.S1.A,303,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,749.453870114534,Sample 1,-0.389244245322638,-0.349147619620248
OTU126,123545.M1.S1.A,2066,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,5110.13760942781,Sample 1,-0.331367154880991,-0.132167062488392
OTU129,123545.M1.S1.A,1531,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,3786.8444724269,Sample 1,-0.397189921564801,-0.272860154697948
OTU13,123545.M1.S1.A,275,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,680.197406869626,Sample 1,-0.378815382486105,-0.552887163641858
OTU130,123545.M1.S1.A,1041,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,2574.85636564102,Sample 1,-0.39428974984246,-0.274364665512385
OTU136,123545.M1.S1.A,2449,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,6057.46708881351,Sample 1,-0.368434255413075,-0.133042255122638
OTU139,123545.M1.S1.A,2168,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,5362.42901124855,Sample 1,-0.378364509671883,-0.164939293577892
OTU143,123545.M1.S1.A,157,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,388.330883194659,Sample 1,-0.390262707889364,-0.381463508846683
OTU144,123545.M1.S1.A,126,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,311.654084602083,Sample 1,-0.360692639972823,-0.440438485954561
OTU15,123545.M1.S1.A,134,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,331.4416455292,Sample 1,-0.352130355990174,-0.440990296456709
OTU157,123545.M1.S1.A,112,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,277.02585297963,Sample 1,-0.406065946720389,-0.420349922338622
OTU163,123545.M1.S1.A,650,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1607.73932532821,Sample 1,-0.389828721131941,-0.295978586194097
OTU18,123545.M1.S1.A,38,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,93.9909144038029,Sample 1,-0.351670860047391,-0.45905974717342
OTU180,123545.M1.S1.A,733,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1813.03526994704,Sample 1,-0.402078845482318,-0.252428544101738
OTU186,123545.M1.S1.A,449,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1110.57685703441,Sample 1,-0.392947463200204,-0.30185146164645
OTU189,123545.M1.S1.A,391,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,967.117040312814,Sample 1,-0.391976631736889,-0.303019014065216
OTU19,123545.M1.S1.A,102602,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,253780.4157805,Sample 1,-0.398786530016861,-0.0724461982134547
OTU193,123545.M1.S1.A,137,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,338.861980876868,Sample 1,-0.389758285988052,-0.381718073424256
OTU200,123545.M1.S1.A,720,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1780.88048344048,Sample 1,-0.390697158974107,-0.261827697517023
OTU201,123545.M1.S1.A,832,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,2057.90633642011,Sample 1,-0.413683927353698,-0.265576702618369
OTU208,123545.M1.S1.A,341,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,843.444784518337,Sample 1,-0.390164692700578,-0.282766670404421
OTU21,123545.M1.S1.A,35,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,86.5705790561343,Sample 1,-0.351950163006602,-0.448076296425364
OTU215,123545.M1.S1.A,1231,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,3044.81093766004,Sample 1,-0.391922386218258,-0.206040646472721
OTU218,123545.M1.S1.A,358,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,885.493351488459,Sample 1,-0.397893067117451,-0.337170492235918
OTU22,123545.M1.S1.A,38,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,93.9909144038029,Sample 1,-0.35195755660703,-0.447785546744841
OTU225,123545.M1.S1.A,206,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,509.529693873247,Sample 1,-0.389511563437491,-0.30845065568532
OTU229,123545.M1.S1.A,264,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,652.989510594841,Sample 1,-0.389976861241828,-0.381658999842616
OTU231,123545.M1.S1.A,258,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,638.148839899504,Sample 1,-0.390040080317134,-0.32061553059207
OTU234,123545.M1.S1.A,272,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,672.777071521958,Sample 1,-0.390017418679553,-0.288558148450419
OTU235,123545.M1.S1.A,262,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,648.042620363062,Sample 1,-0.390032416968712,-0.287968348146165
OTU236,123545.M1.S1.A,463,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1145.20508865686,Sample 1,-0.39076010371122,-0.292300966690704
OTU238,123545.M1.S1.A,210,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,519.423474336806,Sample 1,-0.390660157307691,-0.395855930643973
OTU25,123545.M1.S1.A,81,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,200.349054387054,Sample 1,-0.352686158141607,-0.419133651710892
OTU256,123545.M1.S1.A,248,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,613.414388740609,Sample 1,-0.390266364104859,-0.278768492710362
OTU257,123545.M1.S1.A,427,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1056.16106448484,Sample 1,-0.392098436791387,-0.219051817386495
OTU26,123545.M1.S1.A,38,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,93.9909144038029,Sample 1,-0.352081496491672,-0.442911672072967
OTU260,123545.M1.S1.A,269,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,665.356736174289,Sample 1,-0.3905937623199,-0.265893719811321
OTU261,123545.M1.S1.A,404,A,123545.M1.S1,9220.94444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,999.271826819378,Sample 1,-0.391439471719458,-0.232636615899964
