OTUID	A1_tag01_tag01_4	A1_tag02_tag02_4	A1_tag03_tag03_4	A2_tag04_tag04_4	A2_tag05_tag05_4	A2_tag06_tag06_4	A3_tag07_tag07_4	A3_tag08_tag08_4	A3_tag09_tag09_4	B1_tag10_tag10_4	B1_tag11_tag11_4	B1_tag12_tag12_4	B2_tag26_tag26_4	B2_tag27_tag27_4	B2_tag28_tag28_4	B3_tag29_tag29_4	B3_tag31_tag31_4	B3_tag32_tag32_4	C1_tag33_tag33_4	C1_tag34_tag34_4	C1_tag35_tag35_4	C2_tag36_tag36_4	C2_tag37_tag37_4	C2_tag38_tag38_4	C3_tag51_tag51_4	C3_tag52_tag52_4	C3_tag53_tag53_4	D1_tag54_tag54_4	D1_tag55_tag55_4	D1_tag56_tag56_4	D2_tag61_tag61_4	D2_tag62_tag62_4	D2_tag63_tag63_4	D3_tag01_tag01_5	D3_tag02_tag02_5	D3_tag03_tag03_5	E1_tag04_tag04_5	E1_tag05_tag05_5	E1_tag06_tag06_5	E2_tag07_tag07_5	E2_tag08_tag08_5	E2_tag09_tag09_5	E3_tag10_tag10_5	E3_tag11_tag11_5	E3_tag12_tag12_5	F1_tag26_tag26_5	F1_tag27_tag27_5	F1_tag28_tag28_5	F2_tag29_tag29_5	F2_tag31_tag31_5	F2_tag32_tag32_5	F3_tag33_tag33_5	F3_tag34_tag34_5	F3_tag35_tag35_5	G1_tag36_tag36_5	G1_tag37_tag37_5	G1_tag38_tag38_5	G2_tag51_tag51_5	G2_tag52_tag52_5	G2_tag53_tag53_5	G3_tag54_tag54_5	G3_tag55_tag55_5	G3_tag56_tag56_5	NC_tag61_tag61_5	NC_tag62_tag62_5	NC_tag63_tag63_5	PNC55_tag76_tag76_1	PNC55_tag77_tag77_1	PNC55_tag78_tag78_1	PNC56_tag76_tag76_2	PNC56_tag77_tag77_2	PNC56_tag78_tag78_2	PNC57_tag85_tag85_3	PNC57_tag86_tag86_3	PNC57_tag87_tag87_3	PNC58_tag64_tag64_4	PNC58_tag65_tag65_4	PNC58_tag66_tag66_4	PNC59_tag64_tag64_5	PNC59_tag65_tag65_5	PNC59_tag66_tag66_5
HAP001	3412	1678	1397	4196	10615	5795	8312	5192	3838	3913	4507	3611	5397	10072	1667	5486	2893	6356	6071	8079	4980	4338	15581	3418	5112	7416	2515	5707	2666	7125	11728	13638	24106	3115	3055	4193	7227	25541	9630	26	3252	5624	5109	5856	5179	19	34	4	21	13	16	10	26	13	9	48	8	10	15	6	25	10	19	36	35	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP100	461	393	316	366	117	217	863	356	384	58	157	49	291	270	57	154	36	172	196	10	84	260	339	70	158	218	41	105	38	83	450	158	264	139	240	263	244	128	175	61	242	349	135	371	135	151	54	39	173	26	50	51	48	49	326	122	69	70	94	64	50	67	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP103	1188	611	436	1118	1040	1000	845	307	212	350	472	544	527	1403	229	476	268	535	796	222	694	449	1690	306	637	936	229	828	268	587	1198	1011	1644	452	577	642	919	1580	764	345	850	1168	769	933	909	378	357	288	664	276	293	287	200	1416	842	695	330	573	355	366	357	565	413	3	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP104	441	236	187	785	650	650	813	346	203	188	225	379	250	773	120	248	154	279	427	233	334	222	979	135	301	489	135	274	87	204	501	360	633	210	271	224	288	635	248	156	408	443	348	401	396	202	187	106	235	175	135	132	178	539	324	304	215	175	124	129	126	213	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP105	1213	602	484	2661	1965	2347	3747	1616	1017	1132	1584	3029	2318	4744	877	1971	1125	1998	2618	2360	1619	1269	5874	951	1988	2879	921	2078	828	1632	3668	2759	4891	1007	1357	1325	1660	3296	1569	1200	2636	3591	2757	3351	3317	1815	1430	887	1557	1080	934	847	1039	3559	1210	1306	794	1080	736	907	807	1689	1193	14	3	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP189	2218	1187	914	3867	4157	4580	3040	1523	786	2425	3078	5744	2609	9091	1306	2361	1418	2656	3517	2153	2648	3216	14921	2428	3284	4685	1499	2019	657	1388	2384	1979	3268	995	1234	1325	1085	2637	1174	878	1995	2477	1844	2494	2450	992	954	636	1338	670	848	569	1028	2402	3126	1993	1118	1869	863	951	1282	1548	1317	11	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP107	754	344	278	1094	1117	1286	1503	751	390	579	775	1225	691	2168	344	656	372	645	1047	539	864	708	3249	439	717	1084	310	827	273	641	1347	1346	2045	577	592	753	705	1822	897	379	1183	1366	977	1220	1302	599	430	316	555	326	281	307	304	1234	768	644	369	543	341	396	401	680	500	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP109	9629	4405	4053	3647	6021	3447	3868	2142	945	2432	2060	3463	3724	6834	1196	2835	1470	2851	3138	5281	2561	2225	8934	1512	2024	3178	1045	1683	923	1726	5403	5194	9190	1555	1813	2432	1653	4679	1569	1424	3223	3758	3813	2833	2845	2682	1342	877	2310	1064	1080	711	1404	3531	2900	2008	1285	1396	866	1069	1052	2470	1718	15	11	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP110	1041	366	322	3227	4265	2460	1196	552	510	342	510	448	1540	2148	517	877	394	1069	559	271	581	728	2032	482	480	1006	279	682	372	906	821	1050	2048	771	573	781	1328	3361	1152	328	963	1584	1065	1464	1609	1131	438	318	1195	294	370	148	92	787	954	875	479	265	417	369	204	687	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP111	80	45	33	231	320	194	163	65	57	20	73	39	232	276	56	87	48	129	71	8	56	78	208	41	49	100	28	55	24	59	93	96	165	52	54	74	134	259	84	36	122	175	68	133	150	154	54	49	104	33	45	24	14	81	203	98	42	40	42	35	50	73	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP112	545	268	323	367	239	349	631	194	161	57	93	72	234	349	127	149	82	208	241	26	256	192	485	121	243	342	112	244	75	173	325	219	352	121	142	208	232	281	182	86	227	412	233	281	263	112	88	104	174	89	84	76	55	266	198	167	94	112	102	115	85	195	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP113	3665	1768	1662	3655	6575	3911	10745	7210	3172	5269	4125	7418	5262	13252	1738	5463	3115	4920	6060	14925	4483	2772	13983	2274	4140	6548	2342	4286	2355	4532	11394	10621	19157	5021	5874	6950	4237	12165	4050	3910	8019	11996	17051	9197	11111	3936	2264	1433	4521	2623	2386	1467	2876	8307	4548	4222	3312	2472	1973	2269	1152	3955	2380	42	28	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
