OTUID	A1_tag01_tag01_4	A1_tag02_tag02_4	A1_tag03_tag03_4	A2_tag04_tag04_4	A2_tag05_tag05_4	A2_tag06_tag06_4	A3_tag07_tag07_4	A3_tag08_tag08_4	A3_tag09_tag09_4	B1_tag10_tag10_4	B1_tag11_tag11_4	B1_tag12_tag12_4	B2_tag26_tag26_4	B2_tag27_tag27_4	B2_tag28_tag28_4	B3_tag29_tag29_4	B3_tag31_tag31_4	B3_tag32_tag32_4	C1_tag33_tag33_4	C1_tag34_tag34_4	C1_tag35_tag35_4	C2_tag36_tag36_4	C2_tag37_tag37_4	C2_tag38_tag38_4	C3_tag51_tag51_4	C3_tag52_tag52_4	C3_tag53_tag53_4	D1_tag54_tag54_4	D1_tag55_tag55_4	D1_tag56_tag56_4	D2_tag61_tag61_4	D2_tag62_tag62_4	D2_tag63_tag63_4	D3_tag01_tag01_5	D3_tag02_tag02_5	D3_tag03_tag03_5	E1_tag04_tag04_5	E1_tag05_tag05_5	E1_tag06_tag06_5	E2_tag07_tag07_5	E2_tag08_tag08_5	E2_tag09_tag09_5	E3_tag10_tag10_5	E3_tag11_tag11_5	E3_tag12_tag12_5	F1_tag26_tag26_5	F1_tag27_tag27_5	F1_tag28_tag28_5	F2_tag29_tag29_5	F2_tag31_tag31_5	F2_tag32_tag32_5	F3_tag33_tag33_5	F3_tag34_tag34_5	F3_tag35_tag35_5	G1_tag36_tag36_5	G1_tag37_tag37_5	G1_tag38_tag38_5	G2_tag51_tag51_5	G2_tag52_tag52_5	G2_tag53_tag53_5	G3_tag54_tag54_5	G3_tag55_tag55_5	G3_tag56_tag56_5	NC_tag61_tag61_5	NC_tag62_tag62_5	NC_tag63_tag63_5	PNC55_tag76_tag76_1	PNC55_tag77_tag77_1	PNC55_tag78_tag78_1	PNC56_tag76_tag76_2	PNC56_tag77_tag77_2	PNC56_tag78_tag78_2	PNC57_tag85_tag85_3	PNC57_tag86_tag86_3	PNC57_tag87_tag87_3	PNC58_tag64_tag64_4	PNC58_tag65_tag65_4	PNC58_tag66_tag66_4	PNC59_tag64_tag64_5	PNC59_tag65_tag65_5	PNC59_tag66_tag66_5
HAP001	3052	1557	1283	3162	7350	4704	6541	4497	3365	3388	3942	3126	4154	6780	1497	4399	2565	5072	4816	2565	4162	3567	8947	2806	4090	4880	2119	4142	2167	5106	7045	8398	13137	2674	2567	3399	5270	14007	7326	26	2600	4282	3773	4784	4197	18	34	4	21	13	16	10	25	13	9	48	8	10	15	6	25	10	19	35	35	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP100	438	372	302	337	108	209	785	336	361	58	152	45	270	252	53	139	36	158	176	7	82	247	303	66	151	193	41	94	33	79	386	142	244	133	226	249	222	120	165	58	216	316	120	349	127	147	51	38	168	25	48	46	47	43	296	117	67	64	92	61	48	62	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP103	1087	580	420	963	919	920	767	291	205	330	451	517	486	1237	216	436	253	488	721	113	640	425	1341	289	584	785	222	736	256	539	988	890	1337	423	516	586	805	1308	693	320	739	995	658	863	828	357	328	270	614	253	272	267	185	1073	747	607	304	535	327	340	330	496	378	3	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP104	416	226	175	709	591	608	735	324	195	176	218	358	236	694	117	233	149	264	401	125	325	216	797	128	279	424	131	259	84	192	439	332	564	197	246	214	267	556	234	141	360	406	308	374	370	186	173	103	224	160	127	122	163	453	297	284	200	163	116	126	123	201	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP105	1129	561	462	2186	1683	2061	3251	1483	947	1043	1469	2639	1964	3608	804	1707	1042	1752	2257	1046	1448	1146	4008	869	1743	2226	840	1734	731	1378	2680	2168	3538	935	1216	1135	1448	2603	1408	1098	2208	2921	2235	2890	2817	1587	1235	805	1366	984	844	780	929	2611	1072	1094	723	968	667	813	716	1429	1028	14	3	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP189	2038	1103	858	3023	3319	3911	2620	1402	738	2184	2762	4799	2216	6229	1160	2054	1313	2325	2956	971	2339	2757	8730	2101	2824	3463	1329	1701	598	1201	1891	1625	2504	903	1128	1154	957	2098	1077	805	1694	2079	1537	2211	2160	900	850	584	1198	629	774	533	938	1832	2595	1659	1001	1653	781	845	1162	1315	1139	11	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP107	699	330	265	988	1006	1172	1344	700	369	537	733	1131	632	1808	330	612	354	606	958	286	806	653	2483	404	658	906	291	739	258	590	1131	1169	1679	546	556	669	647	1534	834	358	1020	1203	871	1117	1192	556	394	289	518	309	264	294	281	1030	695	574	343	507	322	365	379	616	452	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP109	7967	3959	3604	2918	4537	3009	3329	1976	887	2195	1876	3039	3057	5011	1089	2423	1358	2478	2680	2313	2277	1918	5886	1347	1779	2473	950	1429	831	1487	3837	3825	6317	1441	1646	2105	1434	3609	1437	1309	2690	3017	3136	2504	2490	2291	1183	808	2018	973	977	671	1247	2668	2424	1661	1157	1245	776	979	941	1999	1468	15	11	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP110	961	342	307	2566	3344	2145	1054	511	479	324	482	425	1337	1752	483	796	376	944	522	117	539	657	1548	451	434	799	260	601	333	794	691	897	1600	715	519	714	1146	2612	1029	305	805	1333	875	1287	1423	997	396	292	1056	273	324	142	87	589	833	739	447	242	392	345	191	601	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP111	76	44	33	214	292	181	151	62	56	20	70	37	217	260	53	81	44	122	65	4	52	73	183	38	43	81	25	54	24	59	84	96	143	50	51	69	123	226	79	33	110	152	64	123	143	144	52	43	93	32	44	22	14	65	191	90	41	37	40	34	48	71	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP112	511	255	308	339	221	330	584	180	151	52	92	70	221	316	121	139	79	194	223	11	244	170	417	118	215	301	108	220	72	160	288	198	302	115	131	189	214	258	170	85	195	359	204	258	231	107	84	97	164	83	76	72	51	221	184	151	87	104	95	109	81	175	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP113	3274	1634	1535	2938	4943	3398	8547	6317	2827	4552	3621	6078	4160	8635	1527	4443	2777	4059	4919	6225	3867	2395	8455	1963	3496	4720	2048	3372	1956	3523	7203	7028	11588	4344	4954	5710	3426	8021	3469	3479	6433	8851	12014	7326	8389	3217	1901	1277	3710	2358	2109	1331	2511	5924	3683	3215	2759	2153	1703	1970	1027	3060	1992	42	28	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP118	3552	1948	1921	4758	6783	5085	5051	2613	1444	1798	1569	1914	2570	3705	906	2845	1579	2895	2787	1093	2415	2153	6087	1452	2466	3241	1259	2146	1056	1951	4647	4377	7338	2208	2406	3312	2211	4548	2160	2017	4106	5432	4380	3625	3608	2835	1489	1117	2905	1522	1520	878	904	3563	2795	2307	1607	1773	1682	1774	1010	2836	1921	16	6	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP133	10262	5949	5321	13059	18338	15829	10172	6137	2971	9488	8040	12102	7694	13214	3587	6244	4144	6426	7278	10720	6038	4742	14988	4197	6799	8287	3604	8247	3890	7248	13112	12336	19664	5118	5954	7062	5897	12722	6825	5814	9618	11675	11468	8907	8560	5277	3030	2191	6530	4331	3914	2528	4867	10299	6270	5847	4810	5781	3847	4586	3773	6317	5376	50	43	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
