OTUID sampleName readNum mtagNum soup exp soupRep PCR lib pcrRep readSpike mtagSpike readNumSpikeCorr mtagNumSpikeCorr inputCOINum inputGDNA
HAP001 A1_tag01_tag01_4 3412 3052 A within-spp 1 tag01_tag01 4 1 8862.91666666667 6642.41666666667 1439.42095811198 1380.71133749012 100129875.4 61
HAP001 A1_tag02_tag02_4 1678 1557 A within-spp 1 tag02_tag02 4 2 3739.5 3199.41666666667 1677.77563845434 1462.38689344412 100129875.4 61
HAP001 A1_tag03_tag03_4 1397 1283 A within-spp 1 tag03_tag03 4 3 4090.66666666667 3441.41666666667 1276.90262385919 1120.29881105165 100129875.4 61
HAP001 A2_tag04_tag04_4 4196 3162 A within-spp 2 tag04_tag04 4 1 8054.83333333333 4966.83333333333 1947.75526081649 1913.0519110097 100129875.4 61
HAP001 A2_tag05_tag05_4 10615 7350 A within-spp 2 tag05_tag05 4 2 20218.5 9843.33333333333 1963.02816727255 2243.82831019302 100129875.4 61
HAP001 A2_tag06_tag06_4 5795 4704 A within-spp 2 tag06_tag06 4 3 11132.5 7331.83333333333 1946.32876712329 1927.96526562251 100129875.4 61
HAP001 A3_tag07_tag07_4 8312 6541 A within-spp 3 tag07_tag07 4 1 20534 13127.0833333333 1513.5174831986 1497.33985081733 100129875.4 61
HAP001 A3_tag08_tag08_4 5192 4497 A within-spp 3 tag08_tag08 4 2 13864.1666666667 10376 1400.22032818417 1302.37904780262 100129875.4 61
HAP001 A3_tag09_tag09_4 3838 3365 A within-spp 3 tag09_tag09 4 3 5023.08333333333 4038.58333333333 2856.86719644309 2503.80496461218 100129875.4 61
HAP001 B1_tag10_tag10_4 3913 3388 B within-spp 1 tag10_tag10 4 1 13509.4166666667 9230.5 1083.00064769636 1102.96733654732 80103900.3 48.8
HAP001 B1_tag11_tag11_4 4507 3942 B within-spp 1 tag11_tag11 4 2 8899.83333333333 6538.83333333333 1893.48186295623 1811.5938113323 80103900.3 48.8
HAP001 B1_tag12_tag12_4 3611 3126 B within-spp 1 tag12_tag12 4 3 25193.0833333333 13387.5833333333 535.922055326032 701.667341006281 80103900.3 48.8
HAP001 B2_tag26_tag26_4 5397 4154 B within-spp 2 tag26_tag26 4 1 6644.41666666667 4447 3037.04358295812 2807.00921969867 80103900.3 48.8
HAP001 B2_tag27_tag27_4 10072 6780 B within-spp 2 tag27_tag27 4 2 25910.1666666667 11220.6666666667 1453.45294318189 1815.74772740776 80103900.3 48.8
HAP001 B2_tag28_tag28_4 1667 1497 B within-spp 2 tag28_tag28 4 3 4064.83333333333 3005.08333333333 1533.37480011481 1496.95848700813 80103900.3 48.8
